"nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdgr","rlgatnd","pray","dscrgrp","ctzcntr","brncntr","livecnta","feethngr","facntr","mocntr","ccrdprs","wrclmch","ctrlife","etfruit","eatveg","dosprt","cgtsmok","alcfreq","alcwkdy","alcwknd","alcbnge","height","weighta","medtrun","stflife","gndr","agea","rshpsts","ipstrgva","vacc19","prtvtebe","prtclebe"
15,"5 - Every day",180,5,6,3,"4 - Not at all interested","1 - Not at all","1 - Not at all able","1 - Not at all","1 - Not at all confident",0,4,5,3,0,0,0,"No",6,"3 - Once a month","2","2 - Less than most","No","3 - Unsafe","2 - Good","3 - No",4,2,"No",4,"6 - Less often","1 - Every day","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",5,"3 - Once a day","3 - Once a day",1,"5 - I have only smoked a few times","6 - Less than once a month",0,13.2,"5 - Never",168,67,"No",5,"Female",45,NA,"2 - Like me","Yes",NA,NA
597,"1 - Never",NA,1,2,5,"3 - Hardly interested","1 - Not at all","1 - Not at all able","2 - Very little","1 - Not at all confident",5,5,3,3,3,3,3,"Yes",9,"7 - Every day","0 - None","2 - Less than most","No","4 - Very unsafe","4 - Bad","3 - No",5,5,"No",0,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes","Yes","Yes",6,"3 - Somewhat worried",8,"3 - Once a day","3 - Once a day",7,"1 - I smoke daily, 10 or more cigarettes","2 - Several times a week",26.4,26.4,"2 - Weekly",161,45,"No",10,"Female",64,"Legally married","1 - Very much like me","Yes",NA,NA
1116,"5 - Every day",90,5,7,5,"3 - Hardly interested","1 - Not at all","5 - Completely able","1 - Not at all","5 - Completely confident",0,0,7,0,0,0,0,"Yes",8,"2 - Less than once a month","2","2 - Less than most","No","1 - Very safe","2 - Good","3 - No",9,5,"Yes",8,"7 - Never","4 - At least once a month","No","Yes","Yes",NA,"Yes","Yes","Yes",0,"2 - Not very worried",8,"4 - Less than once a day but at least 4 times a week","4 - Less than once a day but at least 4 times a week",7,"4 - I don’t smoke now but I used to","1 - Every day",19.6,725.4,"2 - Weekly",191,98,"No",8,"Male",34,NA,"1 - Very much like me","No","MR","MR"
15,"5 - Every day",360,6,5,4,"2 - Quite interested","1 - Not at all","2 - A little able","1 - Not at all","3 - Quite confident",1,3,7,0,4,2,6,"Yes",8,"6 - Several times a week","4-6","4 - More than most","No","2 - Safe","2 - Good","3 - No",2,0,"No",1,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",2,"2 - Not very worried",7,"7 - Never","5 - Less than 4 times a week but at least once a week",0,"5 - I have only smoked a few times","6 - Less than once a month",19.8,107.2,"4 - Less than monthly",173,92,"Yes",9,"Male",29,"Legally married","5 - Not like me","Yes","N-VA","N-VA"
60,"4 - Most days",30,8,8,8,"2 - Quite interested","2 - Very little","1 - Not at all able","1 - Not at all","1 - Not at all confident",2,8,9,2,4,3,3,"Yes",8,"1 - Never","1","1 - Much less than most","No","1 - Very safe","3 - Fair","2 - Yes to some extent",8,8,"Yes",7,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",4,"3 - Somewhat worried",5,"3 - Once a day","3 - Once a day",0,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",172,71,"No",8,"Male",87,NA,"4 - A little like me","Yes","N-VA",NA
180,"1 - Never",NA,5,3,3,"3 - Hardly interested","1 - Not at all","1 - Not at all able","1 - Not at all","1 - Not at all confident",3,5,6,2,2,2,3,"Yes",8,"4 - Several times a month","4-6","2 - Less than most","No","1 - Very safe","2 - Good","2 - Yes to some extent",8,5,"Yes",5,"6 - Less often","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",8,"3 - Somewhat worried",5,"7 - Never","3 - Once a day",7,"6 - I have never smoked","1 - Every day",39.4,89,"3 - Monthly",168,79,"No",8,"Male",70,"Legally married","2 - Like me","Yes","PTB",NA
60,"5 - Every day",600,8,8,7,"2 - Quite interested","3 - Some","2 - A little able","3 - Some","2 - A little confident",8,8,8,6,7,7,8,"Yes",5,"4 - Several times a month","2","2 - Less than most","No","1 - Very safe","1 - Very good","2 - Yes to some extent",6,6,"No",0,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes","Yes","Yes",7,"4 - Very worried",6,"2 - Twice a day","3 - Once a day",5,"4 - I don’t smoke now but I used to","3 - Once a week",26.4,26.4,"4 - Less than monthly",163,55,"No",5,"Female",31,NA,NA,"Yes","PS","Ecolo"
0,"4 - Most days",270,4,6,7,"3 - Hardly interested","3 - Some","1 - Not at all able","4 - A lot","3 - Quite confident",10,7,8,7,6,9,10,"No",8,"6 - Several times a week","10 or more","3 - About the same","No","2 - Safe","1 - Very good","3 - No",7,8,"No",3,"6 - Less often","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",6,"2 - Not very worried",7,"5 - Less than 4 times a week but at least once a week","3 - Once a day",4,"6 - I have never smoked","3 - Once a week",39.2,20,"2 - Weekly",170,55,"No",8,"Male",18,NA,"5 - Not like me","Yes",NA,NA
120,"5 - Every day",120,5,7,5,"2 - Quite interested","3 - Some","2 - A little able","3 - Some","3 - Quite confident",6,8,8,6,7,7,4,"Yes",9,"5 - Once a week","3","3 - About the same","No","3 - Unsafe","1 - Very good","3 - No",10,8,"Yes",7,"6 - Less often","2 - More than once a week","No","Yes","Yes",NA,"Yes","Yes","No",9,"4 - Very worried",7,"3 - Once a day","3 - Once a day",1,"4 - I don’t smoke now but I used to","2 - Several times a week",237.5,78.6,"5 - Never",169,92,"No",8,"Male",75,"Living with my partner - legally recognised","1 - Very much like me","Yes","PS","PS"
60,"4 - Most days",240,7,7,6,"2 - Quite interested","3 - Some","2 - A little able","3 - Some","2 - A little confident",7,8,8,7,7,7,NA,"Yes",8,"6 - Several times a week","7-9","3 - About the same","No","1 - Very safe","1 - Very good","3 - No",4,4,"No",2,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",8,"4 - Very worried",8,"3 - Once a day","3 - Once a day",0,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",173,70,"No",9,"Female",32,"Legally married","2 - Like me","Yes","Groen!","Groen!"
